key,en,ar,ca,cs,de,es,fr,he,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
UPGRADE_DEMO_MODE,DEMO MODE,,,,,,,,,,,,,,,,,,,
UPGRADE_ICONS_COMING_SOON,*Icons are coming soon(TM),,,,,,,,,,,,,,,,,,,
UPGRADE_PAN_TREE,PAN TREE,,,,,,,,,,,,,,,,,,,
UPGRADE_DRAG_TREE,DRAG TREE,,,,,,,,,,,,,,,,,,,
UPGRADE_NAVIGATE,NAVIGATE,,,,,,,,,,,,,,,,,,,
UPGRADE_BUY_UPGRADE,BUY UPGRADE,,,,,,,,,,,,,,,,,,,
UPGRADE_WISHLIST,WISHLIST,,,,,,,,,,,,,,,,,,,
UPGRADE_CONTINUE,CONTINUE,,,,,,,,,,,,,,,,,,,
UPGRADE_GO_AGAIN_DISABLED_HINT,You must unlock an upgrade before starting.,,,,,,,,,,,,,,,,,,,
UPGRADE_BATTLE_LEVEL_DIALOG_TITLE,Choose Battle Level,,,,,,,,,,,,,,,,,,,
UPGRADE_BATTLE_LEVEL_BUTTON,Level %d,,,,,,,,,,,,,,,,,,,
UPGRADE_BATTLE_LEVEL_PROMPT,Select a battle level from 1 to %d.,,,,,,,,,,,,,,,,,,,
UPGRADE_CANCEL,Cancel,,,,,,,,,,,,,,,,,,,
UPGRADE_CONFIRM,Confirm,,,,,,,,,,,,,,,,,,,
UPGRADE_RESET_PROGRESS,Reset Progress,,,,,,,,,,,,,,,,,,,
UPGRADE_CONFIRM_RESET_TITLE,Confirm Reset,,,,,,,,,,,,,,,,,,,
UPGRADE_CONFIRM_RESET_BODY,"You will reset your time, currency, and upgrades. Would you like to continue?",,,,,,,,,,,,,,,,,,,
UPGRADE_YES,Yes,,,,,,,,,,,,,,,,,,,
UPGRADE_NO,No,,,,,,,,,,,,,,,,,,,
UPGRADE_PROGRESS_RESET_REQUIRED,Progress Reset Required,,,,,,,,,,,,,,,,,,,
UPGRADE_LEGACY_RESET_BODY,"Thank you for playing the previous version. We apologize, but we have to reset your progress because the upgrades have changed so drastically. We will make every effort to avoid doing this again.",,,,,,,,,,,,,,,,,,,
UPGRADE_VERSION_LABEL,Version %s,,,,,,,,,,,,,,,,,,,
UPGRADE_SETTINGS,Settings,,,,,,,,,,,,,,,,,,,
UPGRADE_SETTINGS_TITLE,SETTINGS,,,,,,,,,,,,,,,,,,,
UPGRADE_BACK,BACK,,,,,,,,,,,,,,,,,,,
UPGRADE_CONTINUE_LOCKED,CONTINUE LOCKED,,,,,,,,,,,,,,,,,,,
UPGRADE_OK,OK,,,,,,,,,,,,,,,,,,,
UPGRADE_UNMUTE_AUDIO,Unmute all audio,,,,,,,,,,,,,,,,,,,
UPGRADE_MUTE_AUDIO,Mute all audio,,,,,,,,,,,,,,,,,,,
UPGRADE_EXIT_FULLSCREEN,Exit fullscreen,,,,,,,,,,,,,,,,,,,
UPGRADE_ENTER_FULLSCREEN,Enter fullscreen,,,,,,,,,,,,,,,,,,,
UPGRADE_CONFIRM_PURCHASE_ON,Confirm Upgrade Purchase: ON,,,,,,,,,,,,,,,,,,,
UPGRADE_CONFIRM_PURCHASE_OFF,Confirm Upgrade Purchase: OFF,,,,,,,,,,,,,,,,,,,
BATTLE_LEVEL_LABEL,LEVEL %d,,,,,,,,,,,,,,,,,,,
BATTLE_HEALTH_VALUE,%d / %d,,,,,,,,,,,,,,,,,,,
BATTLE_EXP_PLACEHOLDER,EXP 0 / 32,,,,,,,,,,,,,,,,,,,
BATTLE_POWER_VALUE,0 / 0,,,,,,,,,,,,,,,,,,,
BATTLE_CURRENCY_LABEL,Currency: %d,,,,,,,,,,,,,,,,,,,
BATTLE_CLOCK_LABEL,Clock: %s,,,,,,,,,,,,,,,,,,,
BATTLE_SPEED_LABEL,Speed x%d,,,,,,,,,,,,,,,,,,,
BATTLE_SIM_INFINITY,Sim Infinity,,,,,,,,,,,,,,,,,,,
BATTLE_SPAWN_UFO,Spawn UFO,,,,,,,,,,,,,,,,,,,
BATTLE_EXIT,EXIT BATTLE,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_TITLE,Summary,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_TITLE,Hint,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_TITLE_NUMBERED,Hint %d/%d,,,,,,,,,,,,,,,,,,,
BATTLE_HINT_PLACEHOLDER,Hint text,,,,,,,,,,,,,,,,,,,
BATTLE_CONTINUE,Continue,,,,,,,,,,,,,,,,,,,
BATTLE_ENEMIES_REMAINING,Enemies Remaining: %d,,,,,,,,,,,,,,,,,,,
BATTLE_LEVEL_CHOICE_DIALOG_BODY,Choose your next battle level.,,,,,,,,,,,,,,,,,,,
BATTLE_LEVEL_UNLOCKED_DIALOG_BODY,"You unlocked new battle levels by defeating bosses.
Choose your next level.",,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_VICTORY,VICTORY,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_DEFEAT,DEFEAT,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_BODY,"BATTLE OVER  |  %s

Level: %d
Enemies defeated: %d
Boss segments broken: %d
Coins gained this run: %d
Gold total: %d",,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_COLLECTING_LOOT,Collecting remaining loot...,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_LEVEL20_BODY,"Congratulations on beating level 20!
Level 20 clear time: %s
Thanks for playing.
This game was created by a single developer.
Please leave feedback or email to web@beep2bleep.com if you would like more content.
Creator: Beep2Bleep.",,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_DEMO_THANK_YOU_BODY,"Thanks for playing the demo!
Time to reach Level %d: %s
This game was created by a single developer.
Please leave feedback or email to web@beep2bleep.com if you would like more content.
Creator: Beep2Bleep.",,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_LEVEL3_CLEAR,Level 3 clear time: %s,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_DAMAGE,Damage,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_HEALED,Healed,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_PREVENTED,Prevented,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_TOTAL,Total,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_KNIGHT,Knight,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_ARCHER,Archer,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_GUARDIAN,Guardian,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_MAGE,Mage,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_KNIGHT_VAMP,Knight Vamp,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_GUARDIAN_FORTIFY,Guardian Fortify,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_ARMOR,Armor,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_ENEMY_GUARD,Enemy Guard,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_DOT_GUARD,DOT Guard,,,,,,,,,,,,,,,,,,,
BATTLE_SUMMARY_SOURCE_BOSS_GUARD,Boss Guard,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_01,Knight Vampirism restores health from all attacks. Using it is critical.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_02,Guardian Fortify reduces damage taken and removes the armor cap. allowing you to stop all damage.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_03,Archer Pierce hits all enemies in its path and can be very powerful when many are on screen.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_04,Mage Storm hits all enemies on screen and weakens future enemies farther into the fight.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_05,Timing Fortify and Vampirism correctly can be critical for beating the boss.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_06,Armor can only reduce damage taken by 90% unless Guardian Fortify is active.,,,,,,,,,,,,,,,,,,,
BATTLE_DEFAULT_HINT_07,"Wishlist Vanguard - Idle Auto Battler, and thank you for playing.",,,,,,,,,,,,,,,,,,,
