key,en,ja,ko,zh_Hans,ru,pt_BR,de,es,es_MX,fr,pl,tr
<!MissingKey:0:⚡ Electric Chain Enhance>,⚡ Electric Chain Enhance,⚡ 電気連鎖強化,⚡ 전기 연쇄 강화,⚡ 电气连锁强化,⚡ Усиление электроцепи,⚡ Cadeia Elétrica Aprimorada,⚡ Elektrokette verstärkt,⚡ Mejora de Cadena Eléctrica,⚡ Mejora de Cadena Eléctrica,⚡ Amélioration Chaîne Électrique,⚡ Ulepszenie Łańcucha Elektrycznego,⚡ Elektrik Zincir Geliştirme
STAT_CRITICAL,Critical,クリティカル,크리티컬,暴击,Крит,Crítico,Kritisch,Crítico,Crítico,Critique,Krytyczny,Kritik
<!MissingKey:2:Return Complete>,Return Complete,帰還完了,귀환 완료,返航完成,Возврат завершён,Retorno Completo,Rückkehr abgeschlossen,Retorno Completo,Retorno Completo,Retour Terminé,Powrót Zakończony,Dönüş Tamamlandı
CURRENCY_FMT,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s,💰 %s
<!MissingKey:4:Electric blocks appear>,Electric blocks appear,電気ブロック出現,전기 블록 출현,电气方块出现,Появляются электроблоки,Blocos elétricos aparecem,Elektroblöcke erscheinen,Aparecen bloques eléctricos,Aparecen bloques eléctricos,Les blocs électriques apparaissent,Pojawiają się bloki elektryczne,Elektrik blokları belirir
<!MissingKey:5:+2% resource per stack>,+2% resource per stack,スタックごとに資源 +2%,스택당 자원 +2%,每层资源 +2%,+2% ресурсов за стак,+2% recursos por acúmulo,+2% Ressourcen pro Stufe,+2% recurso por carga,+2% recurso por carga,+2% ressource par charge,+2% zasobów na ładunek,Yük başına +%2 kaynak
STATS_HISTORY,📋 Sortie History (Latest),📋 出撃記録 (新しい順),📋 출항 기록 (최신순),📋 出击记录 (最新),📋 История вылетов,📋 Histórico de Missões,📋 Einsatzverlauf,📋 Historial de Salidas (Recientes),📋 Historial de Salidas (Recientes),📋 Historique des Sorties (Récentes),📋 Historia Wypraw (Ostatnie),📋 Çıkış Geçmişi (Son)
LOADING_EDGES,Calculating edges...,露出面を計算中...,노출면 계산 중...,计算露出面中...,Вычисление граней...,Calculando bordas...,Kanten werden berechnet...,Calculando bordes...,Calculando bordes...,Calcul des bords...,Obliczanie krawędzi...,Kenarlar hesaplanıyor...
MEGA_LASER_LABEL,⚡ Mega Laser,⚡ メガレーザー,⚡ 메가 레이저,⚡ 超级激光,⚡ Мегалазер,⚡ Mega Laser,⚡ Megalaser,⚡ Mega Láser,⚡ Mega Láser,⚡ Méga Laser,⚡ Mega Laser,⚡ Mega Lazer
STATS_TIME_FMT,⏱ %.0fs,⏱ %.0f秒,⏱ %.0f초,⏱ %.0f秒,⏱ %.0fс,⏱ %.0fs,⏱ %.0fs,⏱ %.0fs,⏱ %.0fs,⏱ %.0fs,⏱ %.0fs,⏱ %.0fs
