# Layout dump
id,key,x,y,dep
cursor_pickup_unlock__G1,cursor_pickup_unlock,0,2,__CENTER__
recruit_archer__G1,recruit_archer,-1,3,cursor_pickup_unlock__G1
auto_attack_unlock__G1,auto_attack_unlock,-4,6,recruit_archer__G1
knight_vamp_unlock__G1,knight_vamp_unlock,-4,7,auto_attack_unlock__G1
salvage_hooks__G1,salvage_hooks,0,4,core_drop__G1
archer_pierce_unlock__G1,archer_pierce_unlock,-4,8,knight_vamp_unlock__G1
power_harvest_unlock__G1,power_harvest_unlock,-4,9,archer_pierce_unlock__G1
trail_boots__G1,trail_boots,-1,4,core_drop__G1
encroaching_horde__G1,encroaching_horde,4,-1,core_density__G1
reinforced_plates__G1,reinforced_plates,-3,2,core_armor__G1
recruit_guardian__G1,recruit_guardian,-4,10,power_harvest_unlock__G1
guardian_fortify_unlock__G1,guardian_fortify_unlock,-6,11,recruit_guardian__G1
field_magnet__G1,field_magnet,2,4,core_drop__G1
condensed_cores_60__G1,condensed_cores_60,-1,-4,core_power__G1
focused_breathing_60__G1,focused_breathing_60,-2,4,core_drop__G1
supply_lenses__G1,supply_lenses,0,5,salvage_hooks__G1
knight_bloodline_1_60__G1,knight_bloodline_1_60,-5,14,core_knight_damage__G1
recruit_mage__G1,recruit_mage,-6,12,guardian_fortify_unlock__G1
mage_storm_unlock__G1,mage_storm_unlock,-9,13,recruit_mage__G1
stride_rhythm__G1,stride_rhythm,-1,5,trail_boots__G1
wave_bringer_1__G1,wave_bringer_1,-4,15,core_knight_damage__G1
impact_weave__G1,impact_weave,-6,15,core_knight_damage__G1
core_knight_speed__G1,core_knight_speed,2,0,__CENTER__
core_knight_speed__G2,core_knight_speed,1,3,cursor_pickup_unlock__G1
core_knight_damage__G1,core_knight_damage,-6,13,recruit_mage__G1
core_knight_damage__G2,core_knight_damage,-8,14,core_mage_active_cap__G1
power_reservoir_1_60__G1,power_reservoir_1_60,2,-4,core_power__G1
core_armor__G1,core_armor,-2,0,__CENTER__
core_armor__G2,core_armor,3,1,core_knight_speed__G1
core_knight_active_cap__G1,core_knight_active_cap,0,-2,__CENTER__
core_knight_active_cap__G2,core_knight_active_cap,1,4,core_knight_speed__G2
quick_invocation_1_60__G1,quick_invocation_1_60,-2,-4,core_power__G1
core_archer_speed__G1,core_archer_speed,-3,4,recruit_archer__G1
core_archer_speed__G2,core_archer_speed,-5,4,core_archer_damage__G1
core_drop__G1,core_drop,0,3,cursor_pickup_unlock__G1
core_drop__G2,core_drop,1,-3,core_knight_active_cap__G1
boss_stance_60__G1,boss_stance_60,4,-2,core_density__G1
core_archer_damage__G1,core_archer_damage,-4,4,recruit_archer__G1
core_archer_damage__G2,core_archer_damage,-1,6,core_archer_active_cap__G1
core_density__G1,core_density,3,0,core_knight_speed__G1
core_density__G2,core_density,4,2,core_armor__G2
core_power__G1,core_power,0,-3,core_knight_active_cap__G1
core_power__G2,core_power,1,-4,core_drop__G2
scrap_broker__G1,scrap_broker,2,5,field_magnet__G1
core_archer_active_cap__G1,core_archer_active_cap,-2,5,recruit_archer__G1
core_archer_active_cap__G2,core_archer_active_cap,-5,8,archer_drill_1_60__G1
extra_skill_001__G1,extra_skill_001,0,-4,core_power__G1
line_pressure_1__G1,line_pressure_1,-6,14,core_knight_damage__G1
core_guardian_speed__G1,core_guardian_speed,-4,11,recruit_guardian__G1
core_guardian_speed__G2,core_guardian_speed,-5,12,core_guardian_active_cap__G1
boss_readiness_60__G1,boss_readiness_60,4,0,core_density__G1
momentum_carry__G1,momentum_carry,-3,5,focused_breathing_60__G1
core_guardian_damage__G1,core_guardian_damage,-3,11,recruit_guardian__G1
core_guardian_damage__G2,core_guardian_damage,-7,12,guardian_fortify_unlock__G1
extra_skill_002__G1,extra_skill_002,-2,-5,condensed_cores_60__G1
hemostasis_mesh__G1,hemostasis_mesh,-3,0,core_armor__G1
core_guardian_active_cap__G1,core_guardian_active_cap,-5,11,recruit_guardian__G1
core_guardian_active_cap__G2,core_guardian_active_cap,-4,13,guardian_bulwark_1_60__G1
core_mage_speed__G1,core_mage_speed,-5,13,recruit_mage__G1
core_mage_speed__G2,core_mage_speed,-9,14,mage_storm_unlock__G1
extra_skill_003__G1,extra_skill_003,3,-5,power_reservoir_1_60__G1
extended_channel_1_60__G1,extended_channel_1_60,-3,-5,quick_invocation_1_60__G1
core_mage_damage__G1,core_mage_damage,-7,13,recruit_mage__G1
core_mage_damage__G2,core_mage_damage,-7,15,mage_sigil_1_60__G1
overflow_capture__G1,overflow_capture,1,5,salvage_hooks__G1
core_mage_active_cap__G1,core_mage_active_cap,-8,13,recruit_mage__G1
core_mage_active_cap__G2,core_mage_active_cap,-9,15,core_mage_speed__G2
extra_skill_004__G1,extra_skill_004,0,-5,extra_skill_001__G1
taxonomy_scanner__G1,taxonomy_scanner,-4,5,trail_boots__G1
extra_skill_005__G1,extra_skill_005,-4,-5,condensed_cores_60__G1
archer_drill_1_60__G1,archer_drill_1_60,-5,7,auto_attack_unlock__G1
route_memory__G1,route_memory,2,6,scrap_broker__G1
boss_fracture_study_60__G1,boss_fracture_study_60,4,1,core_density__G1
shock_padding__G1,shock_padding,-3,1,core_armor__G1
extra_skill_006__G1,extra_skill_006,4,-5,power_reservoir_1_60__G1
crowd_ecology__G1,crowd_ecology,5,-1,encroaching_horde__G1
extra_skill_007__G1,extra_skill_007,-5,-5,quick_invocation_1_60__G1
archer_piercing_geometry_60__G1,archer_piercing_geometry_60,-5,5,core_archer_speed__G1
power_reservoir_2_60__G1,power_reservoir_2_60,1,-5,extra_skill_001__G1
extra_skill_008__G1,extra_skill_008,-2,-6,condensed_cores_60__G1
quick_invocation_2_60__G1,quick_invocation_2_60,5,-5,power_reservoir_1_60__G1
extra_skill_009__G1,extra_skill_009,-3,-6,quick_invocation_1_60__G1
collector_drone__G1,collector_drone,-3,6,momentum_carry__G1
extra_skill_010__G1,extra_skill_010,-1,-5,extra_skill_001__G1
boss_armor_mesh_60__G1,boss_armor_mesh_60,-3,-1,core_armor__G1
extra_skill_011__G1,extra_skill_011,-4,-6,condensed_cores_60__G1
extra_skill_012__G1,extra_skill_012,0,-6,power_reservoir_1_60__G1
wave_bringer_2__G1,wave_bringer_2,-5,15,knight_bloodline_1_60__G1
extra_skill_013__G1,extra_skill_013,-5,-6,quick_invocation_1_60__G1
guardian_bulwark_1_60__G1,guardian_bulwark_1_60,-4,12,core_guardian_speed__G1
